Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_0_53,VGND,li1,30.5900,10.8800,0.000009
FILLER_0_50,VGND,li1,29.2100,10.8800,0.000008
FILLER_0_47,VGND,li1,27.8300,10.8800,0.000008
FILLER_0_37,VGND,li1,23.0000,10.8800,0.000008
FILLER_0_34,VGND,li1,21.8500,10.8800,0.000008
FILLER_0_27,VGND,li1,18.1700,10.8800,0.000008
FILLER_0_9,VGND,li1,10.1200,10.8800,0.000009
FILLER_0_6,VGND,li1,8.9700,10.8800,0.000009
FILLER_0_3,VGND,li1,7.5900,10.8800,0.000009
fanout34,VGND,li1,12.8800,38.0800,0.000021
fanout33,VGND,li1,11.9600,43.5200,0.000019
max_cap32,VGND,li1,23.2300,43.5200,0.000014
wire31,VGND,li1,13.3400,59.8400,0.000019
max_cap30,VGND,li1,16.5600,16.3200,0.000019
max_cap29,VGND,li1,20.2400,43.5200,0.000016
output28,VGND,li1,21.6200,59.8400,0.000017
output27,VGND,li1,41.8600,59.8400,0.000026
output26,VGND,li1,55.2000,48.9600,0.000033
output25,VGND,li1,55.2000,38.0800,0.000035
output24,VGND,li1,55.2000,27.2000,0.000041
output23,VGND,li1,34.5000,10.8800,0.000011
output22,VGND,li1,8.7400,21.7600,0.000021
output21,VGND,li1,8.7400,27.2000,0.000024
output20,VGND,li1,9.2000,59.8400,0.000020
input19,VGND,li1,12.4200,38.0800,0.000021
input18,VGND,li1,8.7400,38.0800,0.000022
input17,VGND,li1,8.7400,48.9600,0.000016
input16,VGND,li1,8.7400,54.4000,0.000017
input15,VGND,li1,29.4400,59.8400,0.000018
input14,VGND,li1,55.2000,54.4000,0.000026
input13,VGND,li1,55.2000,43.5200,0.000027
input12,VGND,li1,56.1200,27.2000,0.000041
input11,VGND,li1,38.1800,10.8800,0.000011
input10,VGND,li1,16.1000,10.8800,0.000009
input9,VGND,li1,12.4200,27.2000,0.000023
input8,VGND,li1,8.7400,48.9600,0.000016
input7,VGND,li1,33.5800,59.8400,0.000022
input6,VGND,li1,56.1200,43.5200,0.000027
input5,VGND,li1,56.1200,32.6400,0.000018
input4,VGND,li1,56.1200,21.7600,0.000025
input3,VGND,li1,25.3000,10.8800,0.000007
input2,VGND,li1,12.4200,10.8800,0.000009
input1,VGND,li1,14.7200,32.6400,0.000010
TAP_TAPCELL_ROW_18_79,VGND,li1,57.2700,60.1310,0.000027
TAP_TAPCELL_ROW_18_78,VGND,li1,44.3900,60.1310,0.000027
TAP_TAPCELL_ROW_18_77,VGND,li1,31.5100,60.1310,0.000021
TAP_TAPCELL_ROW_18_76,VGND,li1,18.6300,60.1310,0.000018
TAP_TAPCELL_ROW_17_75,VGND,li1,57.2700,59.5480,0.000027
TAP_TAPCELL_ROW_17_74,VGND,li1,31.5100,59.5480,0.000021
TAP_TAPCELL_ROW_16_73,VGND,li1,44.3900,54.6910,0.000024
TAP_TAPCELL_ROW_16_72,VGND,li1,18.6300,54.6910,0.000015
TAP_TAPCELL_ROW_15_71,VGND,li1,57.2700,54.1080,0.000026
TAP_TAPCELL_ROW_15_70,VGND,li1,31.5100,54.1080,0.000019
TAP_TAPCELL_ROW_14_69,VGND,li1,44.3900,49.2510,0.000027
TAP_TAPCELL_ROW_14_68,VGND,li1,18.6300,49.2510,0.000013
TAP_TAPCELL_ROW_13_67,VGND,li1,57.2700,48.6680,0.000033
TAP_TAPCELL_ROW_13_66,VGND,li1,31.5100,48.6680,0.000017
TAP_TAPCELL_ROW_12_65,VGND,li1,44.3900,43.8110,0.000024
TAP_TAPCELL_ROW_12_64,VGND,li1,18.6300,43.8110,0.000017
TAP_TAPCELL_ROW_11_63,VGND,li1,57.2700,43.2280,0.000027
TAP_TAPCELL_ROW_11_62,VGND,li1,31.5100,43.2280,0.000018
TAP_TAPCELL_ROW_10_61,VGND,li1,44.3900,38.3710,0.000030
TAP_TAPCELL_ROW_10_60,VGND,li1,18.6300,38.3710,0.000019
TAP_TAPCELL_ROW_9_59,VGND,li1,57.2700,37.7880,0.000035
TAP_TAPCELL_ROW_9_58,VGND,li1,31.5100,37.7880,0.000021
TAP_TAPCELL_ROW_8_57,VGND,li1,44.3900,32.9310,0.000015
TAP_TAPCELL_ROW_8_56,VGND,li1,18.6300,32.9310,0.000009
TAP_TAPCELL_ROW_7_55,VGND,li1,57.2700,32.3480,0.000018
TAP_TAPCELL_ROW_7_54,VGND,li1,31.5100,32.3480,0.000011
TAP_TAPCELL_ROW_6_53,VGND,li1,44.3900,27.4910,0.000034
TAP_TAPCELL_ROW_6_52,VGND,li1,18.6300,27.4910,0.000020
TAP_TAPCELL_ROW_5_51,VGND,li1,57.2700,26.9080,0.000041
TAP_TAPCELL_ROW_5_50,VGND,li1,31.5100,26.9080,0.000022
TAP_TAPCELL_ROW_4_49,VGND,li1,44.3900,22.0510,0.000023
TAP_TAPCELL_ROW_4_48,VGND,li1,18.6300,22.0510,0.000016
TAP_TAPCELL_ROW_3_47,VGND,li1,57.2700,21.4680,0.000025
TAP_TAPCELL_ROW_3_46,VGND,li1,31.5100,21.4680,0.000017
TAP_TAPCELL_ROW_2_45,VGND,li1,44.3900,16.6110,0.000024
TAP_TAPCELL_ROW_2_44,VGND,li1,18.6300,16.6110,0.000018
TAP_TAPCELL_ROW_1_43,VGND,li1,57.2700,16.0280,0.000024
TAP_TAPCELL_ROW_1_42,VGND,li1,31.5100,16.0280,0.000018
